,Texts,Polarity
2481,I LOVE Brokeback Mountain!!,1
2482,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
2483,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
2484,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
2485,leonardo dicaprio ama a kate winslet y kate winslet ama a leonardo dicaprio fin de la discusion,0
2486,I suppose you could say that I hate Harry Potter because he's everything I'm not.,-1
2487,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
2488,dudeee i LOVED brokeback mountain!!!!,1
2489,Mission Impossible 3 was excellent.,1
2490,elonmusk Can we get an update on the th car sold When do you foresee the tax credit starting to disappear,0
2491,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
2492,Da Vinci Code sucks be...,-1
2493,mission impossible 2 rocks!!....,1
2494,Quaiddddd Love that Schwarzenegger,0
2495,"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
2496,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
2497,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
2498,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
2499,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
2500,I like Mission Impossible movies because you never know who's on the right side.,1
2501,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
2502,I heard Brokeback Mountain was terrible.,-1
2503,"He opened his mouth to dictate his reply about having Harry Potter suck his cock, only to be cut off by his mirror speaking up.",-1
2504,Brokeback Mountain is fucking horrible..,-1
2505,Brokeback Mountain was an AWESOME movie.,1
2506,I love Brokeback Mountain....,1
2507,Brokeback Mountain was an AWESOME movie.,1
2508,"Always knows what I want, not guy crazy, hates Harry Potter..",-1
2509,The Da Vinci Code sucked big time.,-1
2510,"and joan keeps telling me how brokeback mountain sucks so much, but everyone else liked it, so i think i'll go see it.",-1
2511,Mira que me gusta ElonMusk pero cada vez m s se est comiendo sus palabras y se est viendo lo vende humos que ha sido,0
2512,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
2513,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
2514,Brokeback Mountain is fucking horrible..,-1
2515,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",-1
2516,"I read "" Angels & Demons "" first and am now onto "" The Da Vinci Code "" which so far is awesome.",1
2517,The Da Vinci Code is awesome..,1
2518,"I liked the first "" Mission Impossible.",1
2519,Doesnt look good bigdata AI wtf ElonMusk,1
2520,I love Brokeback Mountain....,1
2521,The Da Vinci Code is awesome..,1
2522,"Also: "" Sexy Harry Potter.",1
2523,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
2524,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
2525,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
2526,i love being a sentry for mission impossible and a station for bonkers.,1
2527,I am going to start reading the Harry Potter series again because that is one awesome story.,1
2528,"Always knows what I want, not guy crazy, hates Harry Potter..",-1
2529,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
2530,Logan Paul Insaaaaaaaane,0
2531,da vinci code was an awesome movie...,1
2532,"I liked the first "" Mission Impossible.",1
2533,Ah it was nothin I love Heather shes great and I hate Will Brokeback Mountain Stites.,-1
2534,I love Brokeback Mountain....,1
2535,"After some frenzied phone calls, Laura, Chris, Garrett and me all went to see Mission Impossible, which was excellent.",1
2536,"Back in Melbourne, Mom and I went to see Da Vinci Code, which was totally awesome, but they left things out!",1
2537,"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
2538,"I liked the first "" Mission Impossible.",1
2539,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",-1
2540,Looks like Arnold Schwarzenegger msnbc,0
2541,"Anyway, thats why I love "" Brokeback Mountain.",1
2542,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
2543,This quiz sucks and Harry Potter sucks ok bye..,-1
2544,MKBHD I agree nest nestmatt this is by far the reason why I dont want to upgrade to the nest iq for camera,0
2545,dudeee i LOVED brokeback mountain!!!!,1
2546,Brokeback Mountain is beautiful(,1
2547,NekeiLewis elonmusk DoYouTrust Lets do it,0
2548,I am going to start reading the Harry Potter series again because that is one awesome story.,1
2549,"I, too, like Harry Potter..",1
2550,"Anyway, thats why I love "" Brokeback Mountain.",1
2551,These Harry Potter movies really suck.,-1
2552,the people who are worth it know how much i love the da vinci code.,1
2553,The Da Vinci Code is awesome!!,1
2554,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
2555,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",-1
2556,i heard da vinci code sucked soo much only 2.5 stars:,-1
2557,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
2558,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
2559,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
2560,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
2561,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
2562,I love Brokeback Mountain.,1
2563,I love Brokeback Mountain....,1
2564,da vinci code is so awesome.,1
2565,brokeback mountain was a HORRIBLE movie...,-1
2566,DA VINCI CODE IS AWESOME!!,1
2567,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
2568,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",-1
2569,The Da Vinci Code was absolutely AWESOME!,1
2570,Schwarzenegger n o vem a S o Paulo mas falar ao vivo na abertura da Arnold Sports na sextafeira,0
2571,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
2572,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
2573,Da Vinci Code sucked..,-1
2574,n timp ce Elon Musk ncearc s fac colonii pe Marte moldovenii de acum pun masa acolo elonmusk,0
2575,I hate Harry Potter.,-1
2576,"My sexy vintage silver tea infuser deal fell through, so instead I bought this crappy Harry Potter tea infuser that's shaped like a frog.",-1
2577,Sorry for delays I have to work in between tweets,0
2578,Love luv lubb the Da Vinci Code!,1
2579,FliegenderElf Ed Sheeran Nirvana Kurt Cobain Freddie MercuryQueen The Beatles ACDC Robert Downey Jr Joh,0
2580,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
2581,the last stand and Mission Impossible 3 both were awesome movies.,1
2582,elonmusk Elon you rock,1
2583,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
2584,Da Vinci Code sucked..,-1
2585,The Da Vinci Code is awesome.,1
2586,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
2587,Harry Potter is a story of good conquering evil and the friendships that are formed along the way...,1
2588,The Da Vinci Code is awesome!!,1
2589,The Da Vinci Code is awesome!!,1
2590,dudeee i LOVED brokeback mountain!!!!,1
2591,"MI3 mission impossible III sucked ass, like the last one, it was lame and predictable, LAME..",-1
2592,Mission Impossible 3 was excellent.,1
2593,The Da Vinci Code is awesome!!,1
2594,The Da Vinci Code was absolutely AWESOME!,1
2595,the people who are worth it know how much i love the da vinci code.,1
2596,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
2597,Brokeback mountain was beautiful...,1
2598,"The Da Vinci Code was awesome, I can't wait to read it...",1
2599,"The Da Vinci Code is an awesome book, I just finshed reading it.",1
2600,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",-1
2601,I love Brokeback Mountain....,1
2602,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
2603,So Brokeback Mountain was really depressing.,-1
2604,"The Da Vinci Code was awesome, I can't wait to read it...",1
2605,who else thought the da vinci code kinda sucked...,-1
2606,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",-1
2607,Brokeback Mountain was an AWESOME movie.,1
2608,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
2609,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
2610,the last stand and Mission Impossible 3 both were awesome movies.,1
2611,the last stand and Mission Impossible 3 both were awesome movies.,1
2612,Mission Impossible 3 was excellent.,1
2613,the last stand and Mission Impossible 3 both were awesome movies.,1
2614,""" Harry Potter "" series ( because of the delicious way my life is sucked away when I read it )..",1
2615,i hate brokeback mountain...,-1
2616,The Da Vinci Code sucked big time.,-1
2617,I hate Harry Potter.,-1
2618,lol i love brokeback mountain.,1
2619,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
2620,Climate change campaigner Leonardo DiCaprio takes private jet to Coachella Paul Joseph,0
2621,"by the way, the Da Vinci Code sucked, just letting you know...",-1
2622,mission impossible 2 rocks!!....,1
2623,i heard da vinci code sucked soo much only 2.5 stars:,-1
2624,Bravo MKBHD you even have a parody account MKBHDparody,0
2625,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
2626,SparkleSoup45 ArizonaKayte Looks like Arnold Schwarzenegger,0
2627,the people who are worth it know how much i love the da vinci code.,1
2628,And I love the way our three-generation Mission Impossible team can infiltrate these events a half hour before the doors officially open...,1
2629,Brokeback Mountain was an AWESOME movie.,1
2630,I love Harry Potter..,1
2631,And better..-We all know Da Vinci code is bogus and inaccurate.,-1
2632,Love luv lubb the Da Vinci Code!,1
2633,Kenley decides to buy a Harry Potter costume and two crappy plastic axes.,-1
2634,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
2635,The Da Vinci Code was absolutely AWESOME!,1
2636,we're gonna like watch Mission Impossible or Hoot.(,1
2637,"The Da Vinci Code was awesome, I can't wait to read it...",1
2638,Ok brokeback mountain is such a horrible movie.,-1
2639,Brokeback Mountain was so awesome.,1
2640,"by the way, the Da Vinci Code sucked, just letting you know...",-1
2641,"Brokeback Mountain-Beautiful, sweeping, moving...",1
2642,"oh, and i hated "" the da vinci code "" the novel....",-1
2643,i love gay boys but i think brokeback mountain sucked..,-1
2644,"I know, I know, mission impossible 2 sucked royally.",-1
2645,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",-1
2646,These Harry Potter movies really suck.,-1
2647,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
2648,This quiz sucks and Harry Potter sucks ok bye..,-1
2649,I LOVE Brokeback Mountain!!!!!,1
2650,DA VINCI CODE IS AWESOME!!,1
2651,Brokeback mountain was beautiful...,1
2652,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
2653,leonardo dicaprio is still hot stop sleeping on him,1
2654,Please RT if you like luxurycars luxury supercars cars Arnold Schwarzenegger Still Loves His,0
2655,man i loved brokeback mountain!,1
2656,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
2657,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",-1
2658,DA VINCI CODE IS AWESOME!!,1
2659,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
2660,The Da Vinci Code sucked big time.,-1
2661,I hate Nanny McPhee and Brokeback Mountain.,-1
2662,The Da Vinci Code sucked like a Hoover.,-1
2663,Mission Impossible 3 was excellent.,1
2664,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
2665,"Oh, and Brokeback Mountain was a terrible movie.",-1
2666,da vinci code sucks...,-1
2667,Da Vinci Code sucks be...,-1
2668,I hate Harry Potter.,-1
2669,I hate The Da Vinci Code.,-1
2670,dudeee i LOVED brokeback mountain!!!!,1
2671,The Da Vinci Code is awesome..,1
2672,Bailey17781041 Corp125Vet PrimeCreator2 FlaRhps cjdtwit c0achrex RenovaAlejandro dtrastikeville madsky101,0
2673,I overslept though so jenn and i didn't get to see the da vinci code which sucked and now i have no money so yeah maybe later.,-1
2674,"Mission impossible was pretty cool, though I want you all to experience it at a camp setting which is ten times better with all the land & places to hide.",1
2675,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
2676,I hate Harry Potter..,-1
2677,I LOVE BROKEBACK MOUNTAIN!....,1
2678,Da Vinci Code kinda sucks second time around..,-1
2679,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
2680,Love luv lubb the Da Vinci Code!,1
2681,My dad's being stupid about brokeback mountain...,-1
2682,this is my driving force to vote,0
2683,Inside Leonardo DiCaprio Camila Morrones affectionate Coachella weekend AOL,0
2684,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
2685,My dad's being stupid about brokeback mountain...,-1
2686,elonmusk SJD10304,0
2687,I love The Da Vinci Code...,1
2688,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
2689,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
2690,I HATED Mission Impossible 2..,-1
2691,i heard da vinci code sucked soo much only 2.5 stars:,-1
2692,I love Harry Potter.,1
2693,Harry Potter is AWESOME I don't care if anyone says differently!..,1
2694,da vinci code was awesome..,1
2695,"Wiccans react to possible Harry Potter book ban Marcia Gaither, who teaches classes in Wiccanism, says the controversy about Harry Potter is absurd.",-1
2696,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
2697,"Is it just me, or does Harry Potter suck?...",-1
2698,elonmusk ByYourLogic extremely important,0
2699,DA VINCI CODE IS AWESOME!!,1
2700,PoliticalAnt HuevosDeChivo Sketch of Stormy Daniels looks a lot like Arnold Schwarzenegger,0
2701,the people who are worth it know how much i love the da vinci code.,1
2702,Brokeback Mountain is fucking horrible..,-1
2703,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
2704,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
2705,The many women of Leonardo DiCaprio,0
2706,The horrible lesson of Brokeback Mountain was that if you can't fix something you just have to live with it.,-1
2707,Brokeback Mountain was boring.,-1
2708,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
2709,The Da Vinci Code sucked big time.,-1
2710,"im sick of books right now, but i must say, da vinci code was awesome..",1
2711,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
2712,AIIAmericanGirI realDailyWire Compare this sketch to a young Arnold Schwarzenegger They took a picture of the y,0
2713,The Da Vinci Code was absolutely AWESOME!,1
2714,Brokeback mountain was beautiful...,1
2715,I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;.,1
2716,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
2717,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
2718,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
2719,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
2720,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
2721,guy s14 davettaylor I thought Arnold Schwarzenegger was the narrator,0
2722,Love luv lubb the Da Vinci Code!,1
2723,These Harry Potter movies really suck.,-1
2724,man i loved brokeback mountain!,1
2725,nest MKBHD Full utilized all characters possible in that btw,0
2726,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
2727,I love The Da Vinci Code...,1
2728,"I liked the first "" Mission Impossible.",1
2729,Ok brokeback mountain is such a horrible movie.,-1
2730,All the trailers attached to Mission Impossible were pretty awesome movies which I will catch I am sure since I have nothing better to do since I'll be in Clarksville most of the summer.,1
2731,My dad's being stupid about brokeback mountain...,-1
2732,Da Vinci Code sucked..,-1
2733,Love luv lubb the Da Vinci Code!,1
2734,pseudoselfless NateDiaz209 TheNotoriousMMA,0
2735,The Whole Harry Potter deal --- Now I wish that fuckers would just shut the fuck up about Harry Potter being evil...,-1
2736,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
2737,"I liked the first "" Mission Impossible.",1
2738,Brokeback Mountain was boring.,-1
2739,I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own.,1
2740,So Brokeback Mountain was really depressing.,-1
2741,Brokeback Mountain is so depressing.(,-1
2742,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
2743,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
2744,Taking a gasguzzling private jet from LA to Coachella instead of driving hours in a zeroemissions car definitel,0
2745,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
2746,Da Vinci Code was awesome.,1
2747,I hate Harry Potter..,-1
2748,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
2749,I love Harry Potter..,1
2750,"I liked the first "" Mission Impossible.",1
2751,Id appreciate any help and retweets TheRock JohnCena realDonaldTrump kramergirl,0
2752,"Oh, and Brokeback Mountain was a terrible movie.",-1
2753,The Da Vinci Code sucked ass if you're wondering.,-1
2754,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
2755,Ok brokeback mountain is such a horrible movie.,-1
2756,I have to say that I loved Brokeback Mountain.,1
2757,mission impossible III kinda sucked.,-1
2758,"Anyway, thats why I love "" Brokeback Mountain.",1
2759,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
2760,Watchin twins DannyDeVito and Schwarzenegger whats not to love,0
2761,My dad's being stupid about brokeback mountain...,-1
2762,MISSION IMPOSSIBLE III I hated the first Mission Impossible and never saw the second one.,-1
2763,These Harry Potter movies really suck.,-1
2764,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
2765,I am going to start reading the Harry Potter series again because that is one awesome story.,1
2766,I like Mission Impossible movies because you never know who's on the right side.,1
2767,The Da Vinci Code is awesome!!,1
2768,The Da Vinci Code is awesome..,1
2769,"Is it just me, or does Harry Potter suck?...",-1
2770,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
2771,I love Harry Potter..,1
2772,This quiz sucks and Harry Potter sucks ok bye..,-1
2773,So Brokeback Mountain was really depressing.,-1
2774,"The Da Vinci Code was awesome, I can't wait to read it...",1
2775,"by the way, the Da Vinci Code sucked, just letting you know...",-1
2776,well mission impossible 3 was awesome!!!,1
2777,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
2778,"Ok, so the Da Vinci Code movie sucked incredibly,. ( except for the part were we see Paul Bentlys butt, that was kinda cool..",-1
2779,"Mission Impossible 2 was a horrible film that made me cringe whenever I think about it, so horrible it was that I lost respect for John Woo(",-1
2780,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
2781,Get it,0
2782,mission impossible 2 rocks!!....,1
2783,the people who are worth it know how much i love the da vinci code.,1
2784,i heard da vinci code sucked soo much only 2.5 stars:,-1
2785,mission impossible 2 rocks!!....,1
2786,* brokeback mountain is an awesome movie..,1
2787,they were saying how awful Brokeback Mountain was.,-1
2788,Da Vinci Code sucked..,-1
2789,I love Brokeback Mountain.,1
2790,Da Vinci Code sucks be...,-1
2791,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
2792,"Always knows what I want, not guy crazy, hates Harry Potter..",-1
2793,So Brokeback Mountain was really depressing.,-1
2794,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",-1
2795,"Anyway, thats why I love "" Brokeback Mountain.",1
2796,Brokeback Mountain was the most awful movie I have ever seen.,-1
2797,Da Vinci Code sucked..,-1
2798,NEW VIDEO Tonight I take some time to thank MKBHD for everything hes done for techies like me in the youtube sp,0
2799,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
2800,The Da Vinci Code was absolutely AWESOME!,1
2801,I am going to start reading the Harry Potter series again because that is one awesome story.,1
2802,The Da Vinci Code sucked big time.,-1
2803,This quiz sucks and Harry Potter sucks ok bye..,-1
2804,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
2805,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",-1
2806,The Da Vinci Code is awesome..,1
2807,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
2808,"I don't care about Tom Cruise's issues in real life, I like Mission Impossible.:)",1
2809,I liked a YouTube video Bhad Bhabie vs Woahh Vicky FOOTAGE DramaAlert Logan Paul vs KSI Billy Mitchell,0
2810,Leonardo DiCaprio Coachella,0
2811,MKBHD ISO Auto CaseyNeistat,0
2812,Brokeback Mountain was one boring show â¦ well at least they had super the cute actors â¦..,-1
2813,The Da Vinci Code sucked big time.,-1
2814,i like to play mission impossible..,1
2815,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
2816,This quiz sucks and Harry Potter sucks ok bye..,-1
2817,BROKEBACK MOUNTAIN IS HORRIBLE.,-1
2818,The Da Vinci Code sucked big time.,-1
2819,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
2820,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
2821,I'm pretty sure im boycotting fucking stupid mission impossible III.,-1
2822,i loved the da vinci code was a kick ass movie...,1
2823,I liked a YouTube video ARNOLD SCHWARZENEGGER HEART SURGERY HIS REACTION TO EMERGENCY SURGERY GOT ME,0
2824,i love being a sentry for mission impossible and a station for bonkers.,1
2825,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
2826,we're gonna like watch Mission Impossible or Hoot.(,1
2827,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
2828,Brokeback mountain was beautiful...,1
2829,the last stand and Mission Impossible 3 both were awesome movies.,1
2830,And Harry Potter looks stupid:..,-1
2831,I also think The Da Vinci Code sucked balls and it's the worst piece of shit I've ever read.,-1
2832,DA VINCI CODE IS AWESOME!!,1
2833,i heard da vinci code sucked soo much only 2.5 stars:,-1
2834,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
2835,I love The Da Vinci Code...,1
2836,"Watched "" Brokeback Mountain "", which was really beautiful and sad.",1
2837,Da Vinci Code sucks be...,-1
2838,DA VINCI CODE IS AWESOME!!,1
2839,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
2840,I love Harry Potter......,1
2841,This quiz sucks and Harry Potter sucks ok bye..,-1
2842,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
2843,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
2844,IM DEAD But youre not wrong,0
2845,Harry Potter sucks...,-1
2846,"that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course.",1
2847,Clearly Arnold Schwarzenegger needs to turn himself in to police custody,-1
2848,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",-1
2849,everyone said the da vinci code sucks ass = \.,-1
2850,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
2851,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",-1
2852,"I liked the first "" Mission Impossible.",1
2853,I hate the Da Vinci Code.,-1
2854,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
2855,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",-1
2856,Ok brokeback mountain is such a horrible movie.,-1
2857,"so instead we went to see Mission Impossible 3, which was freaking awesome!",1
2858,"Anyway, thats why I love "" Brokeback Mountain.",1
2859,"Is it just me, or does Harry Potter suck?...",-1
2860,Ok brokeback mountain is such a horrible movie.,-1
2861,McTricky Uh I believe that was actually the film Maggie starring Arnold Schwarzenegger Cmon now xDD,0
2862,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",-1
2863,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
2864,Harry Potter will suck you in like the rest of us and turn you into a geek in addition to a nerd.,-1
2865,I love Harry Potter.,1
2866,"I like their Harry Potter and pop culture stuff, but I'm not very picky!.",1
2867,I love Brokeback Mountain.,1
2868,So Brokeback Mountain was really depressing.,-1
2869,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
2870,"I liked the first "" Mission Impossible.",1
2871,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
2872,Leonardo DiCaprio Kourtney Kardashian Amber Rose Nicole Scherzinger Daniel Kaluuya and more stars flock to,0
2873,I hate Harry Potter.,-1
2874,such hotties,1
2875,I love The Da Vinci Code...,1
2876,The next gen TheNotoriousMMA,0
2877,I am going to start reading the Harry Potter series again because that is one awesome story.,1
2878,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
2879,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
2880,Harry Potter SUCKS!!,-1
2881,"we watched Brokeback Mountain, which was awesome.",1
2882,elonmusk I love you,0
2883,the people who are worth it know how much i love the da vinci code.,1
2884,MISSION IMPOSSIBLE WAS AWESOME!!!!!,1
2885,MKBHD,0
2886,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
2887,Lmaoo TheNotoriousMMA bro you wild,0
2888,"Anyway, thats why I love "" Brokeback Mountain.",1
2889,Brokeback Mountain was awesome..,1
2890,I hate Harry Potter.,-1
2891,Boycott Mission Impossible-Tom Cruise is evil.: -(.....,-1
2892,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
2893,DA VINCI CODE IS AWESOME!!,1
2894,I love The Da Vinci Code...,1
2895,i love brokeback mountain..,1
2896,i love when brokeback mountain won at the critics choice awards they played its so easy to fall in love....,1
2897,I watched a pirated / illegally presented Brokeback Mountain with horrible Chinese subtitles.,-1
2898,mission impossible 3 sucked balls.,-1
2899,I love The Da Vinci Code...,1
2900,"Always knows what I want, not guy crazy, hates Harry Potter..",-1
2901,I'd love to watch The Da Vinci Code soon.,1
2902,Brokeback mountain was beautiful...,1
2903,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
2904,The Da Vinci Code is like one of the AWESOMEST books!!!,1
2905,the last stand and Mission Impossible 3 both were awesome movies.,1
2906,da vinci code sucks...,-1
2907,"Hey thanks for the comment < / 33 Emma Watson is very pretty, and I absolutely love the Harry Potter movies.",1
2908,I hate Harry Potter.,-1
2909,I wanted desperately to love'The Da Vinci Code as a film.,1
2910,"I liked the first "" Mission Impossible.",1
2911,BertelSchmitt elonmusk barrons I would argue its too late for a decent CEO Die Karre steckt zu tief im Dreck,0
2912,I wanted desperately to love'The Da Vinci Code as a film.,1
2913,Mission Impossible 3 was AWESOME...,1
2914,My dad's being stupid about brokeback mountain...,-1
2915,elonmusk Fast Bro,0
2916,I spilled ice tea over my phone and now it wont charge anymore I wanna die Logan Paul please vlog it too,0
2917,Harry Potter is AWESOME I don't care if anyone says differently!..,1
2918,I love politics and Harry Potter...,1
